Gender,Age,Time,Event,Year
F,11,36.58,e1,2016
F,44,33.47,e1,2016
F,11,36.59,e1,2016
F,32,34.07,e1,2016
F,12,38.02,e1,2016
F,41,34.20,e1,2016
F,11,39.14,e1,2016
F,46,34.34,e1,2016
F,11,39.22,e1,2016
F,48,34.35,e1,2016
F,12,43.18,e1,2016
F,56,35.15,e1,2016
F,13,44.41,e1,2016
F,45,35.22,e1,2016
F,9,48.50,e1,2016
F,36,35.34,e1,2016
F,11,49.13,e1,2016
F,43,36.33,e1,2016
F,10,52.59,e1,2016
F,35,36.47,e1,2016
F,56,37.03,e1,2016
F,42,37.21,e1,2016
F,35,38.01,e1,2016
F,54,38.03,e1,2016
F,60,38.09,e1,2016
F,50,38.12,e1,2016
F,54,38.12,e1,2016
F,56,38.29,e1,2016
F,34,38.39,e1,2016
F,37,38.45,e1,2016
F,41,38.45,e1,2016
F,61,38.57,e1,2016
F,41,39.34,e1,2016
F,41,40.46,e1,2016
F,51,41.14,e1,2016
F,54,42.30,e1,2016
F,33,43.29,e1,2016
F,50,43.47,e1,2016
F,31,43.52,e1,2016
F,59,44.03,e1,2016
F,48,44.28,e1,2016
F,37,44.39,e1,2016
F,42,45.12,e1,2016
F,48,45.32,e1,2016
F,33,46.04,e1,2016
F,56,46.17,e1,2016
F,60,47.03,e1,2016
F,42,47.35,e1,2016
F,65,47.38,e1,2016
F,31,47.44,e1,2016
F,42,48.02,e1,2016
F,59,48.27,e1,2016
F,41,48.52,e1,2016
F,44,49.25,e1,2016
F,51,51.10,e1,2016
F,31,51.41,e1,2016
F,40,56.49,e1,2016
F,71,58.17,e1,2016
F,31,58.46,e1,2016
F,48,25.52,e1,2017
F,13,27.27,e1,2017
F,32,28.46,e1,2017
F,12,28.56,e1,2017
F,12,29.05,e1,2017
F,47,30.36,e1,2017
F,13,30.48,e1,2017
F,12,30.51,e1,2017
F,13,30.55,e1,2017
F,10,31.00,e1,2017
F,41,31.04,e1,2017
F,44,31.09,e1,2017
F,58,31.11,e1,2017
F,12,31.35,e1,2017
F,43,31.40,e1,2017
F,44,32.15,e1,2017
F,12,32.25,e1,2017
F,12,32.30,e1,2017
F,35,33.09,e1,2017
M,62,33.33,e1,2017
F,51,33.52,e1,2017
M,32,34.58,e1,2017
F,36,35.03,e1,2017
F,12,35.40,e1,2017
F,25,35.44,e1,2017
F,13,35.54,e1,2017
F,12,35.57,e1,2017
F,12,35.59,e1,2017
F,35,36.10,e1,2017
F,48,36.14,e1,2017
F,44,36.32,e1,2017
F,18,36.44,e1,2017
F,54,36.50,e1,2017
F,49,36.53,e1,2017
F,53,36.58,e1,2017
F,9,37.05,e1,2017
F,57,37.21,e1,2017
F,13,37.31,e1,2017
F,42,38.07,e1,2017
F,49,38.13,e1,2017
F,11,38.38,e1,2017
M,44,38.43,e1,2017
F,43,38.53,e1,2017
F,51,39.13,e1,2017
F,46,39.33,e1,2017
F,41,39.36,e1,2017
F,44,39.40,e1,2017
F,34,39.47,e1,2017
F,55,39.55,e1,2017
F,41,40.01,e1,2017
F,54,40.27,e1,2017
F,42,40.56,e1,2017
M,46,41.05,e1,2017
F,45,41.09,e1,2017
F,42,41.15,e1,2017
F,47,41.53,e1,2017
F,62,42.34,e1,2017
F,44,42.40,e1,2017
F,31,42.50,e1,2017
F,55,42.54,e1,2017
F,31,43.17,e1,2017
F,12,43.40,e1,2017
F,49,43.54,e1,2017
F,36,44.11,e1,2017
F,41,44.29,e1,2017
F,53,44.48,e1,2017
F,45,45.40,e1,2017
F,51,45.44,e1,2017
F,53,46.36,e1,2017
F,24,46.40,e1,2017
F,48,46.48,e1,2017
F,54,46.51,e1,2017
F,47,47.11,e1,2017
F,55,47.34,e1,2017
M,10,47.52,e1,2017
M,44,47.57,e1,2017
F,32,48.41,e1,2017
